anime_id;name;genre;type;episodes;rating;members
998;Blue Seed;Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi;TV;26;7.13;15194
1017;Majutsushi Orphen;Action, Adventure, Comedy, Demons, Fantasy, Magic;TV;24;7.30;20105
249;InuYasha;Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural;TV;167;7.89;281632
6811;InuYasha: Kanketsu-hen;Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural;TV;26;8.37;99128
903;Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai;Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power;Movie;1;7.11;54947
31427;Zinba;Action, Adventure, Comedy, Demons, Magic, Super Power;TV;52;7.17;172
29854;Ushio to Tora (TV);Action, Adventure, Comedy, Demons, Shounen, Supernatural;TV;26;7.71;90931
1805;Master Mosquiton;Action, Adventure, Comedy, Demons, Supernatural, Vampire;OVA;6;6.89;3074
25687;Digimon Adventure tri. 1: Saikai;Action, Adventure, Comedy, Drama;Movie;1;7.66;58274
32108;Digimon Adventure tri. 2: Ketsui;Action, Adventure, Comedy, Drama;Movie;1;7.77;30684
32551;Digimon Adventure tri. 3: Kokuhaku;Action, Adventure, Comedy, Drama;Movie;1;8.13;20989
28155;Yoru no Yatterman;Action, Adventure, Comedy, Drama;TV;12;6.60;22662
6489;Zero no Tsukaima: Princesses no Rondo Picture Drama;Action, Adventure, Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School;Special;7;7.04;23532
1944;Photon;Action, Adventure, Comedy, Drama, Ecchi, Mecha, Romance, Sci-Fi;OVA;6;7.21;7935
2032;Wellber no Monogatari: Sisters of Wellber;Action, Adventure, Comedy, Drama, Fantasy, Historical;TV;13;6.78;5605
1313;Digimon Adventure 02;Action, Adventure, Comedy, Drama, Fantasy, Kids;TV;50;7.37;120268
12671;Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi;Action, Adventure, Comedy, Drama, Fantasy, Kids;Movie;1;6.68;14498
1118;Pokemon: Kesshoutou no Teiou Entei;Action, Adventure, Comedy, Drama, Fantasy, Kids;Movie;1;7.16;73253
528;Pokemon: Mewtwo no Gyakushuu;Action, Adventure, Comedy, Drama, Fantasy, Kids;Movie;1;7.66;100089
1709;Pokemon: Mewtwo! Ware wa Koko ni Ari;Action, Adventure, Comedy, Drama, Fantasy, Kids;Special;1;7.14;38638
121;Fullmetal Alchemist;Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen;TV;51;8.33;600384
9135;Fullmetal Alchemist: The Sacred Star of Milos;Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen;Movie;1;7.50;87944
130;Saiyuuki Reload;Action, Adventure, Comedy, Drama, Fantasy, Shoujo;TV;25;7.54;16298
1132;Digimon Frontier;Action, Adventure, Comedy, Drama, Fantasy, Shounen;TV;50;7.25;74929
31490;One Piece Film: Gold;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;8.32;18642
4155;One Piece Film: Strong World;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;8.42;85020
12859;One Piece Film: Z;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Movie;1;8.39;76051
33338;One Piece: Heart of Gold;Action, Adventure, Comedy, Drama, Fantasy, Shounen;Special;1;7.75;17443
19123;One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;8.29;17247
15323;One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;8.27;24707
31289;One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi;Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power;Special;1;7.78;11922
573;Saber Marionette J;Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen;TV;25;7.45;17561
416;Kurenai no Buta;Action, Adventure, Comedy, Drama, Historical, Military, Romance;Movie;1;8.03;74028
1136;Betterman;Action, Adventure, Comedy, Drama, Horror, Mecha, Mystery, Psychological, Sci-Fi, Shounen;TV;26;6.77;8037
1397;Macross 7;Action, Adventure, Comedy, Drama, Mecha, Military, Music, Romance, Sci-Fi, Shounen;TV;49;7.23;15420
1400;Macross 7 Movie: Ginga ga Ore wo Yondeiru!;Action, Adventure, Comedy, Drama, Mecha, Music, Sci-Fi, Shounen;Movie;1;7.05;5270
1626;Genma Taisen;Action, Adventure, Comedy, Drama, Mecha, Sci-Fi, Shounen;Movie;1;5.10;2055
1293;Urusei Yatsura;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;TV;195;7.78;23020
1920;Urusei Yatsura Movie 1: Only You;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;7.30;3818
1921;Urusei Yatsura Movie 2: Beautiful Dreamer;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;7.89;5663
1922;Urusei Yatsura Movie 3: Remember My Love;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;7.17;2897
1923;Urusei Yatsura Movie 4: Lum The Forever;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;6.99;2745
1924;Urusei Yatsura Movie 5: Final;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;7.72;2783
1925;Urusei Yatsura Movie 6: Itsudatte My Darling;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Movie;1;7.08;2553
1481;Urusei Yatsura: Haru da, Tobidase!;Action, Adventure, Comedy, Drama, Romance, Sci-Fi;Special;2;7.01;1815
1226;Seihou Tenshi Angel Links;Action, Adventure, Comedy, Drama, Romance, Sci-Fi, Space;TV;13;6.06;4817
1186;Battle Athletess Daiundoukai (TV);Action, Adventure, Comedy, Drama, School, Sci-Fi, Shounen, Sports;TV;26;7.02;4806
3175;Kaitei Choutokkyuu: Marine Express;Action, Adventure, Comedy, Drama, Sci-Fi;Special;1;6.37;551
1022;Generator Gawl;Action, Adventure, Comedy, Drama, Sci-Fi, Shounen;TV;12;7.13;5457
2408;Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!;Action, Adventure, Comedy, Drama, Sci-Fi, Shounen;Movie;1;7.48;2941
1;Cowboy Bebop;Action, Adventure, Comedy, Drama, Sci-Fi, Space;TV;26;8.82;486824
4037;Cowboy Bebop: Yose Atsume Blues;Action, Adventure, Comedy, Drama, Sci-Fi, Space;Special;1;7.53;19565
209;R.O.D the TV;Action, Adventure, Comedy, Drama, Sci-Fi, Super Power;TV;26;7.64;47053
23293;Lupin the IIIrd: Jigen Daisuke no Bohyou;Action, Adventure, Comedy, Drama, Seinen;Movie;1;7.91;5939
635;Juubee-chan: Lovely Gantai no Himitsu;Action, Adventure, Comedy, Drama, Shounen;TV;13;6.73;11531
31933;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;Action, Adventure, Comedy, Drama, Shounen, Supernatural;TV;39;8.57;74074
154;Shaman King;Action, Adventure, Comedy, Drama, Shounen, Supernatural;TV;64;7.83;169517
6443;AIKa Zero;Action, Adventure, Comedy, Ecchi;OVA;3;6.08;9595
1195;Zero no Tsukaima;Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School;TV;13;7.62;346828
1840;Zero no Tsukaima: Futatsuki no Kishi;Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School;TV;12;7.73;235684
3712;Zero no Tsukaima: Princesses no Rondo;Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School;TV;12;7.60;210891
808;Bakuretsu Hunters OVA;Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power;OVA;3;6.72;3686
112;Chou Henshin Cosprayers;Action, Adventure, Comedy, Ecchi, Fantasy, Magic, Sci-Fi, Super Power;TV;8;5.11;5555
5990;Cosmic Fantasy: Ginga Me Hyou no Wana;Action, Adventure, Comedy, Ecchi, Fantasy, Romance, Sci-Fi, Space;OVA;1;5.98;226
404;Bastard!!: Ankoku no Hakaishin;Action, Adventure, Comedy, Ecchi, Fantasy, Seinen;OVA;6;6.92;20619
5715;Arcade Gamer Fubuki Extra;Action, Adventure, Comedy, Ecchi, Game, Parody, School;Special;1;4.96;1039
7430;Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko;Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural;OVA;1;6.63;1991
2524;Jungle de Ikou!;Action, Adventure, Comedy, Ecchi, Magic;OVA;3;5.68;3185
2332;Plastic Little;Action, Adventure, Comedy, Ecchi, Mecha, Military, Romance, Sci-Fi;OVA;1;6.27;7287
1111;Vandread: Gekitou-hen;Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space;OVA;1;7.02;5170
1112;Vandread: Taidou-hen;Action, Adventure, Comedy, Ecchi, Mecha, Sci-Fi, Space;OVA;1;6.91;5185
5343;Monkey Punch: Manga Katsudou Daishashin;Action, Adventure, Comedy, Ecchi, Parody, Seinen;TV;12;7.24;746
1802;Dirty Pair Flash;Action, Adventure, Comedy, Ecchi, Police, Sci-Fi;OVA;6;6.82;4505
12343;Dirty Pair Flash 2;Action, Adventure, Comedy, Ecchi, Police, Sci-Fi;OVA;5;6.85;1539
12347;Dirty Pair Flash 3;Action, Adventure, Comedy, Ecchi, Police, Sci-Fi;OVA;5;6.72;1450
370;Burn Up Excess;Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen;TV;13;6.71;6402
13203;Lupin the Third: Mine Fujiko to Iu Onna;Action, Adventure, Comedy, Ecchi, Samurai, Seinen;TV;13;7.81;22796
366;AIKa;Action, Adventure, Comedy, Ecchi, Sci-Fi;OVA;7;6.04;17545
33713;Seihou Bukyou Outlaw Star Specials;Action, Adventure, Comedy, Ecchi, Sci-Fi;Special;2;7.16;1509
25;Sunabouzu;Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen;TV;24;7.55;65516
297;Grenadier: Hohoemi no Senshi;Action, Adventure, Comedy, Ecchi, Shounen;TV;12;6.83;37919
4657;Arad Senki: Slap Up Party;Action, Adventure, Comedy, Fantasy;TV;26;6.86;10698
5071;Croket!;Action, Adventure, Comedy, Fantasy;TV;52;7.12;310
5152;Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!;Action, Adventure, Comedy, Fantasy;Special;1;7.14;25251
426;Final Fantasy;Action, Adventure, Comedy, Fantasy;OVA;4;6.25;10325
30155;Hoshi no Kirby: Tokubetsu-hen - Taose!! Koukaku Majuu Ebizou;Action, Adventure, Comedy, Fantasy;Special;1;6.34;384
1590;Legendz: Yomigaeru Ryuuou Densetsu;Action, Adventure, Comedy, Fantasy;TV;50;7.47;1370
1469;Monster Farm: Enbanseki no Himitsu;Action, Adventure, Comedy, Fantasy;TV;48;6.91;22170
13201;Monster Farm: Legend e no Michi;Action, Adventure, Comedy, Fantasy;TV;25;6.90;6611
3065;Ozanari Dungeon: Kaze no Tou;Action, Adventure, Comedy, Fantasy;OVA;3;6.48;635
9365;Wellber no Monogatari: Kanashimi no Senshi Galahad no Banka;Action, Adventure, Comedy, Fantasy;OVA;1;5.89;472
8664;Slime Boukenki: Umi da, Yeah!;Action, Adventure, Comedy, Fantasy, Game;Special;1;5.92;403
1331;Dragon Pink;Action, Adventure, Comedy, Fantasy, Hentai, Magic, Supernatural;OVA;3;6.32;3467
31339;Drifters;Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen;TV;12;7.93;102857
33032;Drifters: Special Edition;Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen;OVA;1;8.06;9807
552;Digimon Adventure;Action, Adventure, Comedy, Fantasy, Kids;TV;54;7.89;182208
527;Pokemon;Action, Adventure, Comedy, Fantasy, Kids;TV;276;7.43;229157
1564;Pokemon Advanced Generation;Action, Adventure, Comedy, Fantasy, Kids;TV;192;7.20;67386
9107;Pokemon Best Wishes!;Action, Adventure, Comedy, Fantasy, Kids;TV;84;6.78;33730
14093;Pokemon Best Wishes! Season 2;Action, Adventure, Comedy, Fantasy, Kids;TV;24;6.78;19603
17873;Pokemon Best Wishes! Season 2: Decolora Adventure;Action, Adventure, Comedy, Fantasy, Kids;TV;20;6.61;12499
20743;Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!;Action, Adventure, Comedy, Fantasy, Kids;Special;1;6.90;3395
23299;Pokemon Best Wishes! Season 2: Decolora Adventure - Iris vs. Ibuki! Dragon Master e no Michi!!;Action, Adventure, Comedy, Fantasy, Kids;Special;1;6.79;2935
17115;Pokemon Best Wishes! Season 2: Episode N;Action, Adventure, Comedy, Fantasy, Kids;TV;14;7.04;13647
16680;Pokemon Best Wishes! Season 2: Shinsoku no Genosect - Mewtwo Kakusei;Action, Adventure, Comedy, Fantasy, Kids;Movie;1;6.65;12517
1525;Pokemon Crystal: Raikou Ikazuchi no Densetsu;Action, Adventure, Comedy, Fantasy, Kids;Special;1;7.04;13929
19291;Pokemon XY;Action, Adventure, Comedy, Fantasy, Kids;TV;93;7.52;30722
21695;Pokemon XY SP: Road to Kalos;Action, Adventure, Comedy, Fantasy, Kids;Special;1;6.56;2865
23301;Pokemon XY: Mega Evolution;Action, Adventure, Comedy, Fantasy, Kids;Special;4;7.70;10227
21703;Pokemon XY: New Year Special;Action, Adventure, Comedy, Fantasy, Kids;Special;1;6.49;2270
20159;Pokemon: The Origin;Action, Adventure, Comedy, Fantasy, Kids;Special;4;7.94;85947
31750;TV-ban Pokemon Special Masara Town-hen Soushuuhen;Action, Adventure, Comedy, Fantasy, Kids;OVA;3;6.43;485
7419;Wrestler Gundan Seisenshi Robin Jr.;Action, Adventure, Comedy, Fantasy, Kids, Parody, Sci-Fi, Super Power;TV;50;6.32;145
8490;Digimon Adventure 3D: Digimon Grand Prix!;Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports;Movie;1;6.12;4882
1122;Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys;Action, Adventure, Comedy, Fantasy, Kids, Sci-Fi;Movie;1;7.10;45203
225;Dragon Ball GT;Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power;TV;64;6.72;226625
6702;Fairy Tail;Action, Adventure, Comedy, Fantasy, Magic, Shounen;TV;175;8.22;584590
22043;Fairy Tail (2014);Action, Adventure, Comedy, Fantasy, Magic, Shounen;TV;102;8.25;255076
12049;Fairy Tail Movie 1: Houou no Miko;Action, Adventure, Comedy, Fantasy, Magic, Shounen;Movie;1;7.70;77560
18393;Fairy Tail x Rave;Action, Adventure, Comedy, Fantasy, Magic, Shounen;OVA;1;7.54;51844
12231;Dragon Ball: Episode of Bardock;Action, Adventure, Comedy, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power;Special;1;7.40;29030
22699;Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Slice of Life, Super Power;Special;1;7.00;4153
987;Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;Special;1;6.75;32853
6033;Dragon Ball Kai;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;TV;97;7.95;116832
22777;Dragon Ball Kai (2014);Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;TV;61;8.01;42666
813;Dragon Ball Z;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;TV;291;8.32;375662
904;Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;Movie;1;6.28;49949
25389;Dragon Ball Z Movie 15: Fukkatsu no F;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;Movie;1;7.55;41051
6714;Dragon Ball Z: Atsumare! Gokuu World;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;OVA;1;6.76;10044
22695;Dragon Ball Z: Summer Vacation Special;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;Special;1;7.05;4251
4154;Time Bokan Series: Yattodetaman;Action, Adventure, Comedy, Fantasy, Mecha;TV;52;6.56;1012
9403;Shin Mashin Eiyuuden Wataru Majinzan;Action, Adventure, Comedy, Fantasy, Mecha, Sci-Fi;OVA;2;6.50;213
16590;Mashin Eiyuuden Wataru: Soukaizan Eiyuu Densetsu;Action, Adventure, Comedy, Fantasy, Mecha, Sci-Fi, Shounen;OVA;1;7.00;115
2390;Hoshi no Kirby;Action, Adventure, Comedy, Fantasy, Parody;TV;100;6.73;10416
33195;Shi Wan Ge Leng Xiaohua;Action, Adventure, Comedy, Fantasy, Parody;Movie;1;7.07;110
28121;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;Action, Adventure, Comedy, Fantasy, Romance;TV;13;7.88;336349
32801;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA;Action, Adventure, Comedy, Fantasy, Romance;OVA;1;7.18;23370
2049;Kouryuu Densetsu Villgust;Action, Adventure, Comedy, Fantasy, Romance;OVA;2;6.27;1079
25013;Akatsuki no Yona;Action, Adventure, Comedy, Fantasy, Romance, Shoujo;TV;24;8.23;216674
20853;Hitsugi no Chaika;Action, Adventure, Comedy, Fantasy, Romance, Shounen;TV;12;7.47;164510
24231;Hitsugi no Chaika: Avenging Battle;Action, Adventure, Comedy, Fantasy, Romance, Shounen;TV;10;7.33;91049
296;Dragon Drive;Action, Adventure, Comedy, Fantasy, School, Sci-Fi, Shounen;TV;38;6.88;14232
8955;Senjutsu Choukoukaku Orion;Action, Adventure, Comedy, Fantasy, Sci-Fi;Special;1;5.47;244
891;Dragon Ball Movie 2: Majinjou no Nemuri Hime;Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power;Movie;1;7.03;27194
892;Dragon Ball Movie 3: Makafushigi Daibouken;Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power;Movie;1;7.09;25740
893;Dragon Ball Movie 4: Saikyou e no Michi;Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power;Movie;1;7.33;26104
4712;Digimon Savers: Agumon! Gaomon! Lalamon! Bakuretsu! Jougai Last Battle!;Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural;Special;1;6.76;4327
131;Saiyuuki Reload Gunlock;Action, Adventure, Comedy, Fantasy, Shoujo;TV;26;7.56;11233
2606;Digimon Savers the Movie: Kyuukyoku Power! Burst Mode Hatsudou!!;Action, Adventure, Comedy, Fantasy, Shounen;Movie;1;6.72;7937
8624;Digimon Xros Wars;Action, Adventure, Comedy, Fantasy, Shounen;TV;30;7.04;22723
10444;Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku;Action, Adventure, Comedy, Fantasy, Shounen;TV;24;7.42;12505
11385;Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi;Action, Adventure, Comedy, Fantasy, Shounen;TV;25;6.68;11963
24261;Hitsugi no Chaika OVA;Action, Adventure, Comedy, Fantasy, Shounen;OVA;1;7.09;20605
738;MÄR;Action, Adventure, Comedy, Fantasy, Shounen;TV;102;7.42;28968
2472;Naruto: Shippuuden Movie 1;Action, Adventure, Comedy, Fantasy, Shounen;Movie;1;7.43;108170
12001;One Piece 3D: Gekisou! Trap Coaster;Action, Adventure, Comedy, Fantasy, Shounen;Movie;1;7.32;10373
9999;One Piece 3D: Mugiwara Chase;Action, Adventure, Comedy, Fantasy, Shounen;Movie;1;7.34;23772
10033;Toriko;Action, Adventure, Comedy, Fantasy, Shounen;TV;147;7.74;54790
502;Dragon Ball Movie 1: Shen Long no Densetsu;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.05;30279
33606;One Piece Film: Gold Episode 0 - 711 ver.;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Special;1;7.04;4166
8740;One Piece Film: Strong World Episode 0;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;OVA;1;8.16;33862
459;One Piece Movie 1;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.25;46455
460;One Piece Movie 2: Nejimaki-jima no Daibouken;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.33;37792
461;One Piece Movie 3: Chinjuu-jima no Chopper Oukoku;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.18;36558
462;One Piece Movie 4: Dead End no Bouken;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.76;39946
463;One Piece Movie 5: Norowareta Seiken;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.44;35357
3848;One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Movie;1;7.65;29771
8171;One Piece Recap;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;OVA;1;7.34;10147
32051;One Piece: Adventure of Nebulandia;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Special;1;7.50;9777
16239;One Piece: Episode of Luffy - Hand Island no Bouken;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Special;1;7.86;21489
16468;One Piece: Glorious Island;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Special;2;7.35;12922
1237;One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;Special;1;7.43;17175
466;One Piece: Taose! Kaizoku Ganzack;Action, Adventure, Comedy, Fantasy, Shounen, Super Power;OVA;1;6.87;17240
