,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
169,Senior Data & Machine Learning Scientist,101-165 ,"Passionate about precision medicine and advancing the healthcare industry?

Recent advancements in underlying technology have finally made it possible for AI to impact clinical care in a meaningful way. Tempus' proprietary platform connects an entire ecosystem of real-world evidence to deliver real-time, actionable insights to physicians, providing critical information about the right treatments for the right patients, at the right time.

We are looking for machine learning, deep learning, and data science experts who are passionate about applying state of the art techniques to the processing and integrative analyses of vast amounts of data. The ideal candidate has significant expertise in the biomedical or clinical domain, and is eager to apply his or her skills to improve patient outcomes

What You'll Do
Analyze and integrate large diverse clinical, molecular, biosignal and imaging datasets to extract insights, and drive research opportunities.
Design and prototype novel analysis tools and algorithms for predicting patient outcome and treatment response in oncology and cardiology
Collaborate with product, science, engineering, and business development teams to build the most advanced data platform in precision medicine.
Interrogate analytical results for robustness, validity, and out of sample stability.
Document, summarize, and present your findings to a group of peers and stakeholders.
Provide technical leadership & expertise across multiple modeling projects.
Qualifications
MS/PhD degree in a quantitative discipline (e.g. statistical genetics, cancer genetics, machine learning, bioinformatics, statistics, computational biology, applied mathematics, physics, or similar).
5+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data
Outstanding analytical and problem solving skills, with a particular focus on understanding the intricacies of molecular or multi-modal data sets.
Strong experience working with genomic, biosignal, clinical, or imaging data.
Expert-level experience with supervised and unsupervised machine learning algorithms, and ensemble methods, such as: PCA, regression, deep neural networks, decision trees, gradient boosting, generalized linear models, mixed effect models, non-linear low dimensional embeddings and clustering.
Proficient in Python and SQL.
Experience with the following: Pandas, NumPy, SciPy, Scikit-learn, Jupyter Notebooks, and a machine learning framework such as TensorFlow, SageMaker, or PyTorch
Strong programming skills.
Thrive in a fast-paced environment and willing to shift priorities seamlessly.
Experience with communicating insights and presenting concepts to diverse audiences.
Team player mindset and ability to work in an interdisciplinary team.
Goal orientation, self motivation, and drive to make a positive impact in healthcare.
Nice to Haves
Strong peer-reviewed publication record.
Kaggle.com competitions and/or kernels track record
Experience with: Git, matplotlib, seaborn, HTML5, CSS3, JavaScript, D3, Plot.ly, Flask, Dask, Docker, AWS.
Experience working in a Linux / Mac and AWS cloud environments.
Experience in agile environments and comfort with quick iterations.
Technical leadership experience.
#LI-LH1",3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,101,165,133, IL,1,5.0,1,0,0,0,1,0,0,mle,senior
175,Jr. Business Data Analyst (position added 6/12/2020),56-97 ,"April 2020 Update from WebFX: We're still actively hiring and conducting interviews via video conferencing

Hi there! We're WebFX, a full-service digital marketing agency based in the US. We've been named the Best Place To Work in Pennsylvania 5 times in a row and we'd love to meet you. We're looking for people to join our mission to provide world-class digital marketing solutions to mid-size businesses around the world. We get super excited about driving business growth for our clients and are looking for people who take pride in their marketing work and enjoy having a little fun at the same time.

What We're Looking For

Desired Education
Bachelor's Degree in Marketing, Advertising, Business, Business Information System, Management of Information Systems, or Statistics (GPA above a 3.4)

General Knowledge
Solid understanding of interpreting business analytics
Strong data analysis skills
Solid Understanding of the Internet

Experience
Should have customer service experience in any industry
Part time/summer job/internship experience is a must
Basic HTML or data manipulation software experience (a plus)
Experience with Google Analytics (a plus)

Qualities
Stays up to date on new changes to the web and actively reads several blogs
Professional, dependable, solid work ethic
Solid analytical skills and ability to make decisions based on data
Passion for research and deep-diving into business analytics
Excellent time/project management skills
Approaches problem solving proactively and in a professional manner
Creative problem solving abilities
Detail-Oriented
Self-motivated
Ability to meet deadlines

What You'll Do

Responsibilities
Gather and analyze campaign data
Consult with clients about their business goals and propose solutions and strategies that meet their needs
Analyze competitors’ websites and online marketing initiatives
Perform industry analysis and forecasting of trends
Interpret web analytics, demographic data, market research, and buyer behaviors
Optimizing client websites for search engines (on-page SEO)
Create and manage all aspects of SEO, PPC, and paid search ad campaigns for clients
Manage email marketing, website analysis and online advertising programs
Prepare monthly digital marketing campaign reports
Correct technical issues on the backend of website
Perform A/B, website usability, and website conversion rate testing
Responsible for driving client success on the web

Percentage Breakdown
5% analyzing clients’ competitors
10% writing ad copy, emails, etc.
10% working in the backend of websites/fixing technical issues
10% creating revenue, ROI and traffic reports for client campaigns
10% managing client projects and ad campaigns
15% performing industry, demographic and market research, and trend forecasting
20% client strategy and analytics
20% client interaction- phone calls, emails, in-person meetings
Note: The Jr. Business Data Analyst is a client-facing position

Training
Our “Bootcamp” web marketing training program will be provided for new WebFX “family members”.
On-site, state-of-the-art training amenities to facilitate departmental trainings, trend watch reports, and monthly Lunch-and-Learns

What You'll Get

Opportunities for Growth
WebFX grew 250%+ over the past 3 years, and merit-based promotional opportunities are abundant for new family members who meet or exceed position performance metrics.

Potential Promotional Path for Jr. Business Data Analyst:
Digital Marketing Research Consultant
Director of Digital Marketing
Sr. Digital Marketing Research Consultant

Compensation
$35,500 to $38,500 (potentially higher based on work experience)
Potential additional bonus may be offered for GPA's of 3.8+
Potential additional bonus may be offered for attending an elite college or university & graduate with high honors

Candidates interested in the Jr. Business Data Analyst position may also have interest in:
Digital marketing, online marketing, paid advertising, search marketing, inbound marketing, web marketing, content marketing, PPC, SEO, SEM, blogging, writing, editing, research, communications, etc.
WebFX Perks & Benefits
Flexible Schedule
Pet Friendly Office
Profit Sharing
Little Amps Coffee & Tea Bar
Yoga
On-site Fitness Center
150% Company Match Of Personal Charity Donations
Supplemental Insurance
IRA With Company Matching
Generous Paid Time Off
Employee Wellness Program
FXLearns Library
Activity Groups
Humanitarian Trips
Health/Vision/Dental Coverage
New Parent Support
Casual Dress Code
Home Buyer Program
Personal Desk Fund
Green Commute Benefits
Pawternity Leave",4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),56,97,76, PA,1,23.0,0,1,0,0,0,0,0,analyst,jr
176,Sr. Data Scientist II,56-97 ,"Data Scientist

Before the dawn of everything internet, insurance was intimate and personal. You walked down the street to chat with your broker, and the risk to your business, your livelihood, was covered with a handshake. Today things are different. The average insurance policy for a mom-and-pop store trades through a dozen different hands and traverses a maze of systems and processes. Few are accountable and fewer know the whole story.

Some of the problems you will solve entail understanding data, identifying patterns, quantifying the impact of ML / NLP models and designing data visualizations. We seek a data scientist to help drive a new digital AI product team on a mission to unlock the potential of data and identify new opportunities.

As one of the founding members of a small, multi-disciplinary team of technologists, designers and product managers, you’ll have the freedom to make key product decisions without much oversight, and the tools and resources to build and ship ideas quickly. You’ll be a part of a startup-like environment, with the opportunity to have more control and leadership; in a company with thousands of existing customers.

Who you are
You want to use your statistical, scientific, and engineering training to craft and deploy models to transform one of the most entrenched industries.
You paint with plots and your models don’t keep secrets.
Image recognition is no longer an innovation to you, instead it is a routine task.
NLP isn’t a foreign acronym and you’ve gone from strings to whiskers.
You sail smooth in Python and always have sklearn, tensorflow, keras and pytorch on deck.
K-means more than a curt text and Logit and Probit are not Hobbit characters.
You have experience with relational databases such as PostgreSQL, Oracle or SQL Server, and maybe even Hadoop, Hive, Spark or Redshift.
You strive to learn the newest and greatest techniques where BERT/ELMo are not just Sesame Street© characters.
What you’ll own
The foundation for advanced analytics at a global company.
The roadmap of projects you’ll work on that tie directly to business goals and objectives.
Manage the entire lifecycle of data projects from strategic planning to tactical activities (data collection, cleanup, analysis, model implementation).
Sourcing new data for a firm that rarely scrapes, pulls or pushes.
Facilitate communication throughout the development process between executive stakeholders, your users and technical teams.
Coordinate and build strong working relations with various internal stakeholder groups, including IT, engineering, and legal.
Minimum Qualifications
Degree in computer science, engineering, mathematics, statistics, data science or a related technical field, or equivalent practical experience.
3 years of work experience in data science or related field.
Experience with statistical modeling using R, Python, or similar statistical languages.
In depth knowledge of advanced models such as generalized linear models, penalized regression models, tree based models and neural networks
Proven track record building business-practical models and implementing them into production.
Familiarity with Pandas, Numpy, Scikit-learn, Keras, Tensorflow, Pytorch
Experience with data architecture and management (PostgreSQL, Hadoop, Oracle, Hive, Spark, Redshift and/or SQL Server)
Apply on https://argogroup.wd1.myworkdayjobs.com/Argo

PLEASE NOTE: At this time, Argo Group will not sponsor an applicant for employment authorization for this position. To all recruitment agencies: Unless you have been requested to work on this position, or other positions with Argo Group, please do not forward any resumes to Argo Group employees. Argo Group is not responsible for any fees related to unsolicited resumes.

We are an Equal Opportunity Employer. We do not discriminate on the basis of age, ancestry, color, gender, gender expression, gender identity, genetic information, marital status, national origin or citizenship (including language use restrictions), denial of family and medical care leave, disability (mental and physical) , including HIV and AIDS, medical condition (including cancer and genetic characteristics), race, religious creed (including religious dress and grooming practices), sex (including pregnancy, child birth, breastfeeding, and medical conditions related to pregnancy, child birth or breastfeeding), sexual orientation, military or veteran status, or other status protected by federal, state and/or local laws.

Applicants: For the most convenient application experience, please use the “Apply with LinkedIn” button. If manually entering, only include your most recent or relevant job information needed for this role. For either method, please attach your most current resume. Additional job history may be obtained if selected for the interview process.",3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),56,97,76, NY,0,72.0,1,0,1,1,1,0,0,data scientist,senior
178,Senior Data Analyst,56-97 ,"About us


Life360 brings families closer with smart tools designed to protect and connect the people who matter most.

Known for first-to-market solutions for modern family challenges, Life360 recently reached #1 in Apple's US App Store's list of free social networking apps. Nearly 1 in 10 US families with kids use Life360 an average of 12 times a day, and global membership is growing exponentially, with over 28 million active users in over 140 countries as of March 31, 2020 making Life360 the largest mobile service for families in the world.

This reach gives us the opportunity to do unprecedented good for families through our valued core offerings: advanced location sharing, private messaging, driver monitoring, help alerts, 24/7 roadside assistance, and Crash Detection with emergency response. On average we respond to 1,000 roadside assists and dispatch 200+ ambulances each month to those in need.

Offering both free and paid memberships. In addition, the company has raised over $200 million in equity financing, and recently completed an IPO on the ASX exchange giving our employees the liquidity of a public company with the upside of a private growth stage business.

Life360's rapidly growing team of 150+ employees is headquartered in San Francisco, with offices in San Diego, and Las Vegas.

About the Job:

Data plays a crucial role in Life360's growth by driving smarter decisions, improving operations, and creating higher value user experiences. As an analytics team, we partner with a wide variety of cross-functional partners to apply data insights against strategic initiatives. ""Know Our Users"" is a Life360 core value and we're looking for analytics professionals who are passionate about leveraging user data to create value for Life360 families.

You'll be working in a dynamic growth environment, leading efforts to better understand the business, the product, and the customer. Life360 has one of the most interesting datasets in the world: location, driving, product usage, and purchasing behavioral data - all centered around who matters most, the family. If you have a passion for making an impact and working on products that help millions of families around the world, then this is the right place for you.

Responsibilities:

Analytics team members work closely with specific strategic teams but also have opportunities to work on company-wide initiatives. This person is expected to focus on that particular area but also generalize their skills towards other parts of the business with a variety of projects.

In this role, we are looking for someone to partner with the Revenue team in developing actionable insights from both product and financial perspectives. Common projects range from financial disclosure reports that tell Life360's growth story to conducting deep-dive analyses into identifying opportunities for subscription growth. Ultimately, you will be tasked with finding data insights that deliver business value.

These are some typical responsibilities:
Leverage data to understand the Life360 family and their product usage, developing insights that apply to product, marketing, and business strategy.
Partner with executives, product managers, engineers, marketers, designers to translate data insights into smarter decisions and applications.
Establish and manage KPIs that measure the health of the business, product performance, and customer experience quality.
Build dashboards and reporting processes to monitor business and product trends.
Develop frameworks, tools, and best practices to apply data insights towards business questions.
Conduct analyses and build models that identify opportunities and drive growth.
Design and analyze experiments, communicate results, and drive decisions.
Potential projects may include forecasting business performance, developing family driving profiles, and predicting customer lifetime value.
Minimum Qualifications:

We are looking for candidates with a diverse background that will compliment the skills and backgrounds of the current team. If you don't fit all the criteria below please apply anyway as this list is more of a preference rather than a rule. Our priority is for a well rounded team that delivers results.
We are looking for candidates who have had previous experience on analytics teams and are willing to help coach and mentor colleagues on best data practices.
5+ years is preferred.
Degree in a quantitative field like statistics, economics, applied math, operations research, or engineering, finance, business intelligence. Advanced degrees are preferred.
Experience in product analytics related to mobile apps
SQL expertise - able to write structured and efficient queries on large datasets.
Experience in scripting languages, like analysis and visualization libraries in Python or R.
Strong verbal/written communication skills and the ability to collaborate with cross-functional partners to build the business.
Proficiency in building data visualizations and interactive dashboards with tools like Tableau.
Experience designing and evaluating experiments to draw inferential recommendations.
Curiosity to learn about new topics and uncover hidden insights.
Perks
Fridays are Work From Home days at Life360
Competitive pay and benefits
Free snacks, drinks (three ways to brew your favorite cup of coffee), and food in the office
Catered lunches throughout the week
Health, dental and vision insurance plans
401k plan
$200/month Quality of Life perk
A great office with plenty of light in the heart of the SOMA district in beautiful San Francisco
Whatever makes you stronger makes us stronger. We buy you the things you need to improve yourself and get your job done.
This position is located in San Francisco, CA. It is not a remote role.",3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,56,97,76, CA,1,12.0,1,0,0,0,0,1,0,analyst,senior
179,Lead Data Scientist,56-97 ,"Job Description

Since 1851, MassMutuals commitment has always been to help people protect their families, support their communities, and help one another. This is why we want to inspire people to Live Mutual. Were people helping people.

A career with us means you will work alongside exceptional people and be empowered to reach your professional and personal goals. Our employees are the foundation of what makes MassMutual a strong, stable and ethical business. We seek and value unique and varied perspectives and experiences because we believe we are stronger when all voices are heard. We invite you to bring your bright, innovative ideas to MassMutual as we continue to help millions of Americans rely on each other.

Description

Position Summary:

MassMutuals Advanced Analytics group is seeking an exceptional, highly motivated and self-directed data scientist. In this role, you will perform data-driven research, problem solving, and algorithm development through the systematic application of mathematics, statistics and computer science as well as cutting edge data technologies. Results of this work manifest themselves in a variety of ways, including interactive visualizations, presentations, publications, web applications, predictive algorithms, and APIs.

This is an opportunity to join a small but growing high performing team with diverse backgrounds in applied math, computer science and physics that have been tasked with developing, maintaining and extracting knowledge from a strategic data asset. Our work revolves around studying fundamental and high impact business questions that directly impact the direction of the company and industry at large.

Overall Responsibility:
Set strategy and assume a leadership role in a domain of expertise
Develop roadmaps for projects and services, data, and technology
Oversee operations of algorithm and system deployments
Partner with executive leadership to ensure alignment of data science initiatives and company strategy
Lead projects and research initiatives
Develop algorithms and predictive models, create prototype systems, visualizations, and web applications
Design and analyze experiments
Assemble data sets from disparate sources and analyze using appropriate quantitative methodologies, computational frameworks and systems
Disseminate findings to non-technical audiences through a variety of media, including interactive visualizations, reports and presentations
Mentor junior team members
Candidate Requirements:
Industry recognized expertise
7+ years working with data and relevant computational frameworks and systems
7+ years developing of probabilistic models and machine learning algorithms
Proficient level of understanding in the following areas and an expert in at least one: machine learning, probability and statistics (esp. Bayesian methods), natural language processing, operations research
Exceptional problem solving skills and willingness to learn new concepts, methods, and technologies
Expert in data analysis using R or Python (numpy, scipy, matplotlib, scikit-learn, pandas, etc.) programming languages
Knowledge of HTML/CSS/Javascript, d3.js and web application frameworks (Flask, Django, Play!, etc.)
Knowledge of NoSQL systems, Hadoop/map-reduce, Spark, Hbase, etc.
Experience in database design and SQL
Ability to work in a highly collaborative environment
Outstanding communication skills (publication history a plus)
Education - M.S. or Ph.D. in a quantitative discipline (Computer Science, Statistics, Applied Mathematics, Electrical Engineering, Physics, etc.) is required

CORE VALUES
Focus on the Customer: We understand our customers well and look for every opportunity to deliver an experience that is clear, easy, personal, human, empowering and trustworthy.
Act with Integrity: We deliver on our promises by being open, honest and humble and by adhering to the letter and spirit of applicable laws, rules, regulations and company policies.
Value People: We respect and learn from each others diverse backgrounds, experiences and ideas. We engage and develop people to their greatest potential.
Work Collaboratively: We work together to achieve results by actively listening, seeking, understanding and creating solutions as a unified team driving toward one company, one culture, and one brand.
Achieve Results: We focus on winning by exceeding expectations and getting better everyone, every day.",3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),56,97,76, MA,0,169.0,1,0,1,1,1,0,0,data scientist,senior
183,Principal Data Scientist - Machine Learning,56-97 ,"Are you a highly experienced Data Scientist with exceptional machine learning skills and experience supporting critical initiatives focused on improving various customer and financial metrics?

Do you thrive in an environment where you not only dive deep to find data driven insights, but craft meaningful and articulate recommendations that can be discussed and acted upon with your peers?

Do you love the idea of functioning as key member of our Data Platform team, and serving as a subject matter expert to various functional business partners?

If “yes”, then the Principal Data Scientist position here at Constant Contact may be just what you’re looking for.

What you’ll do:
Analyze customer data aimed at improving customer retention and to drive customer engagement strategies
Work with the business to develop data based inquiries, and conduct data exploration and data mining to determine drivers of retention and customer value.
Design and evaluate test and learn campaigns aimed at improving customer retention, engagement and success while optimizing business KPIs
Partner closely with business stakeholders to ensure insights are leading to action and measuring the business impact
Who you are:
MS or PhD degree in Data Science
Demonstrated expertise with machine learning methods is a must - optimization, metrics, vision-based models
Extensive experience with multiple Big Data platforms such as Hadoop, Spark, AWS and Google Cloud
Proven experience developing data visualizations to enable data exploration, illustrate an insight or tell a story
Experience with Python, Scala and/or R
Practical knowledge applying analytical techniques such as survival and failure analysis, regression, decision trees, segmentation, clustering, and other techniques to describe patterns and make predictions with real-world data
Understanding of sampling and testing methodology including A/B splits and multivariate testing
Strong communicator with demonstrated experience translating analytic findings to business insights and influencing business stakeholders to drive action and improved business performance
Comfortable interacting with senior leadership
*This position will be remote to start, onsite in Waltham in the future
Why you’ll love us:
It’s all onsite. We have dry cleaning, a barber shop, a full service cafeteria, and even Boston Sports Clubs (at a discounted rate for our fitness fanatics!)
Abundant fun. Golf Club, kickball and softball leagues, Mario Kart and bubble hockey tournaments, three wheeler races, and Friday beer cart - there’s a way for everyone to let loose
Local pride. We’re wicked proud, which means when any of our teams - Bruins, Patriots, Red Sox, Celtics, and Revolution - kick off their season, you can bet there’s going to be a party to cheer them on. Go ahead and wear your jersey to work
Dine al fresco. Our gorgeous patios make for rejuvenating lunch and coffee breaks
It’s super easy to get here. We offer a subsidized shuttle from the Alewife T stop if you prefer public transportation, and we have plenty of free onsite parking, too
We’ve got you covered. From 401k, generous PTO, tuition reimbursement, casual dress code and excellent medical, dental, and vision - we’re there for you!
REQ ID 4281",3.6,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,56,97,76, MA,1,25.0,1,1,1,1,1,0,1,data scientist,senior
184,Principal Machine Learning Scientist,56-97 ,"Today, nearly every business in the world has to do bookkeeping and accounting in order to file taxes, understand financial health, and most importantly, make strategic business decisions. The process is universally manual, tedious, and error prone. At the same time, the process follows well-defined rules, abides by industry standardization, and has become increasingly data-rich. It’s a product-focused machine learning team’s dream. Sage Intacct Artificial Intelligence Labs “SAIL” is a nimble team within Sage Intacct building the future of cloud accounting by leveraging artificial intelligence. The SAIL team builds capabilities to help businesses make better decisions through data-powered insights. We are looking for a Principal Machine Learning Scientist in San Francisco to help us ship AI-powered products and services. As a part of our cross-functional team, including data scientists and engineers, you will help steer the direction of the entire company’s Artificial Intelligence / Machine Learning effort and you will also be a key individual contributor.

Responsibilities:
Solving problems from ideation to production, using machine learning.
Experimenting, training, tuning, and shipping machine learning models.
Writing production-quality code.
Exploratory data analyses and investigations.
Working with product managers to translate product/business problems into tractable machine learning problems.
Working with machine learning infrastructure engineers to ship models.
Presenting findings, results, and performance metrics to team.
Basic Qualifications:
MS in Computer Science, Electrical Engineering, Statistics, Physics, or similar quantitative field.
Strong theoretical foundations in linear algebra, probability theory, optimization.
Strong programming skills in Python.
4+ years of hands-on experience in working with numpy, scipy, scikit-learn, pandas.
4+ years industry experience shipping production machine learning models.
Experience communicating projects to both technical and non-technical audiences.
You know what these things are (in no particular order): logistic regression, gradient descent, regularization, cross-validation, overfitting, bias, variance, convex optimization, eigenvectors, relational databases, SQL, latency, computational complexity, sparse matrices.
Preferred Qualifications:
PhD in Computer Science, Electrical Engineering, Statistics, Physics, or similar quantitative fields.
Publications in top conferences.
Experience writing complex SQL queries.
You have deep experience with these things: logistic regression, gradient descent, regularization, cross-validation, overfitting, bias, variance, convex optimization, eigenvectors, relational databases, SQL, latency, computational complexity, sparse matrices.
You may be a fit for this role if you:
You’re comfortable with investigating open-ended problems and coming up with concrete approaches to solve them.
You know when to use machine learning and when not to!
You’re a deeply curious person.
You can wrangle data like a pro alligator wrestler and come out relatively unscathed.
You often think about applications of machine learning in your personal life.
What it’s like to work here:

You will have an opportunity to work on a small and growing team based in San Francisco in an environment where engineering is central to what we do. The products we build are breaking new ground, and we have a focus on providing the best environment to allow you to do what you do best - solve problems, collaborate with your team and push first class software. We promote an open diverse environment, encourage contributions to open-source software and invest heavily in our staff. Our team is talented, capable and inclusive. We know that great things can only be done with great teams and look forward to building and working with a great people.",4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,56,97,76, CA,0,21.0,1,0,0,0,0,0,0,mle,senior
186,Principal Data Scientist,56-97 ,"At AstraZeneca we are constantly pushing the boundaries of science to deliver life-changing medicines to patients, with a passion for discovery and a pipeline to show for it. Were pioneering innovative research and exploring novel pathways across key therapeutic areas including oncology, respiratory, inflammation and autoimmunity, cardiovascular and metabolic disease, and infection and vaccines. And were industry-leading in immunology, protein engineering and translational science. We offer a unique and strong collaborative network as together we explore synergies between small and large molecules.

AstraZeneca has a dynamic environment that fosters collaboration and innovation. We attract top minds, and we nurture and build top talent.

Those who join AstraZeneca feel a sense of ownership about their future. They thrive with a recognized leader in the industry. AstraZeneca is an agile, fast-moving and emerging industry leader in oncology. We are a nimble organization that values smart risk-takers.

With AstraZeneca, you will be applying a creative approach to science while being at the forefront of a strong and rich pipeline of cutting-edge medicines. Here, you will join passionate professionals who advance science, technology and medicine to develop products designed to help people live better lives. You will excel in an environment characterized by respect, integrity and growth opportunities.

Our Oncology Pipeline

Our robust pipeline includes investigational therapies in varied stages of clinical development, from recently approved products to earlier-stage molecules in clinical trials. We aspire to transform the lives of cancer patients, working to eliminate cancer as a cause of death in the future.

Principal Data Scientist, Oncology

The Machine Learning and AI team in AstraZenecas Oncology Data Science group is where we develop and apply sophisticated algorithms and techniques to solve the hardest problems in oncology drug discovery and development. The team uses their scientific, quantitative, and problem-solving skills to work on a broad range of challenges across the whole oncology portfolio, working collaboratively with other scientists across a range of disciplines to scope, define, and deliver projects that both advance the state of the art in data science and accelerate the delivery of innovative medicines to patients.

NOTE: This position can be filled in either GAITHERSBURG MARYLAND OR WALTHAM, MASSACHUSETTS

As a Principal Data Scientist, you will play a key role on the front line in this rapidly growing team working to extract insight from complex biomedical data. You will develop your leadership skills and apply and develop your expertise in rigorous quantitative data science to provide solutions to a variety of data science problems, researching, recommending and delivering novel methodologies to solve the problems that matter to the oncology pipeline.

Examples of projects the team works on include developing machine learning models for digital biomarkers, patient risk stratification for clinical trials, new algorithms for survival analysis, approaches to quantitatively analyse wearable data, linking of medical imaging data with omics and longitudinal outcomes to identify and/or validate new drug targets, and much more!

Typical Accountabilities

For our Principal Data Scientist you will additionally be accountable for:
Developing novel data science and machine learning solutions where off-the-shelf methodologies do not fit.
Leading small (2-3 person) data science projects of defined scope.
Coaching/mentoring junior data scientists and others to drive the development of data science as an AZ capability.
Education, Qualifications, Skills and Experience

Essential for our Principal Data Scientist
MSc degree in rigorous quantitative science (such as mathematics, computer science, engineering)
Extensive hands-on experience applying data science tools in practice.
Practical software development skills in standard data science tools (such as R or python)
Extensive knowledge of mathematical modelling and statistical modelling techniques and drive to continue to learn and develop these skills
Outstanding communication, business analysis and consultancy
Desirable
PhD degree in rigorous quantitative science (such as mathematics, computer science, engineering).
Experience within the pharmaceutical industry.
In-depth experience of working in a global organization with complex/geographical context",4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56,97,76, MD,0,107.0,1,1,0,0,0,0,0,data scientist,senior
188,Senior Data Scientist - R&D Oncology,56-97 ,"At AstraZeneca,we work together to deliver innovative medicines to patients across global boundaries. We make an impact and findsolutionsto challenges. We do this with integrity, even in the most difficult situations,because we are committed to doing the right thing.

Job Description

The Machine Learning and AI team in AstraZenecas Oncology Data Science & Analytics group is where we develop and apply sophisticated algorithms and techniques to solve the hardest problems in oncology drug discovery and development. The team uses their scientific, quantitative, and problem-solving skills to work on a broad range of challenges across the whole oncology portfolio, working collaboratively with other scientists across a range of disciplines to scope, define, and deliver projects that both advance the state of the art in data science and accelerate the delivery of innovative medicines to patients.

As a Senior Data Scientist you will play a key role on the front line in this rapidly growing team working to extract insight from complex biomedical data. You will develop your leadership skills and apply and develop your expertise in rigorous quantitative data science to provide solutions to a variety of data science problems, researching, recommending and delivering novel methodologies to solve the problems that matter to the oncology pipeline.

Examples of projects the team works on include machine learning models for developing digital biomarkers, patient risk stratification for clinical trials, new algorithms for survival analysis, approaches to quantitatively analyse wearable data, linking of medical imaging data with omics and longitudinal outcomes to identify and/or validate new drug targets, and much more!

Typical Accountabilities
Provides advanced data science expertise to AstraZeneca projects and recommends data science solutions.
Delivers advanced data science solutions to AstraZeneca projects, appropriately communicating with non-technical stakeholders.
Works within established frameworks to deliver a variety of tasks that support projects in meeting their objectives.
Independently keeps own knowledge up to date and learns from senior team members, proposing appropriate training courses for personal development.
Reviews working practices and ensures non-compliant processes are escalated
Ensures own work is compliant within Clinical Development.
Collaborate in a multidisciplinary environment with world leading clinicians, data scientists, biological experts, statisticians and IT professionals.
Education, Qualifications, Skills and Experience

Essential
MSc degree in rigorous quantitative science (such as mathematics, computer science, engineering)
Practical software development skills in standard data science tools (such as R or python)
Knowledge of range of mathematical and statistical modelling techniques, and drive to continue to learn and develop these skills.
Minimum 2+ years of experience or post doctoral.
Desirable
PhD degree in rigorous quantitative science (such as mathematics, computer science, engineering)
Experience within the pharmaceutical industry
Communication, business analysis, and consultancy.",4.0,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),56,97,76, NY,0,107.0,1,0,0,0,0,0,0,data scientist,senior
190,"Health Plan Data Analyst, Sr",56-97 ,"Title: Health Plan Data Analyst, Sr

Cook Children's Health Plan

We are a local, non-profit managed care company that cares about the community we serve. Our health plan offers coverage through the Texas CHIP, STAR, and STAR Kids Medicaid programs to more than 130,000 members in the 6-county Tarrant service area (Tarrant, Johnson, Denton, Parker, Hood, and Wise. We offer quality, affordable plans for low-income pregnant women and families with children, including those with significant medical complexity. Our network includes thousands of doctors, clinics, hospitals, and specialty service providers. Our member and provider satisfaction scores demonstrate our commitment to elevating every experience for our members, providers and staff

Experience:

Responsible for analyzing, reporting, and developing recommendations on data related to complex and varied business metrics.

Qualifications:
BS/BA degree in related field
5-8 years of business/ data analysis experience that includes knowledge of system capabilities and business operations
Substantial analytical experience in the managed care industry
Deep understanding of healthcare coding
Experience with Provider Data
Must have strong communication skills, verbal and written, and strong consulting skills and critical thinking skills.
***This position is located in Fort Worth, Texas***

About Fort Worth?

Fort Worth is a thriving city full of today's modern amenities, while keeping its small-town feel.

You will find:
Top-rated public and private schools.
Five world-class museums
A lively and entertainment packed downtown.
Many family-friendly annual events.
World-class performance arts.
Upscale, eclectic boutiques and other unique shop located downtown
A top-ranked zoo by Family Life magazine, Los Angeles Times and USA Today, plus a nature center and botanic garden.
Amazing resources are available in a city with an affordable cost of living",3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),56,97,76, TX,1,102.0,0,0,0,0,0,0,0,analyst,senior
